"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mml-miR-139-5p_st",-5.40120454451269,3.41580077874863,-19.342298083541,1.08385555000839e-16,8.47033112331553e-13,27.5600140415053
"hsa-miR-375_st",-3.68322284671856,2.4460819077488,-15.6055870768375,1.65918433264456e-14,6.35005997381572e-11,22.972597569823
"xtr-miR-101a_st",-2.89737054937958,2.05287034070893,-15.3467592624164,2.43764298419029e-14,6.35005997381572e-11,22.6136354906237
"mmu-miR-139-5p_st",-5.12823557276677,3.57762635605073,-14.7456229253397,6.081457724956e-14,1.18816480301328e-10,21.7565815119404
"rno-miR-139-5p_st",-4.97793618038371,3.6941901659373,-13.8155538223875,2.65760091277436e-13,3.97321323672812e-10,20.3628803804294
"hsa-miR-139-5p_st",-4.99597707178464,3.55388151683275,-13.6759028707605,3.3384879979128e-13,3.97321323672812e-10,20.1461740770527
"dre-miR-126_st",-4.93971332902279,3.74412740755465,-13.6369625698048,3.55886022483645e-13,3.97321323672812e-10,20.0853903956028
"rno-miR-29c_st",-3.06879085898655,2.83858330310792,-13.4661258665636,4.71875965421664e-13,4.60963833721288e-10,19.8168645982927
"fru-miR-126_st",-4.67449242552989,3.74675737875756,-13.02942818676,9.82839588167745e-13,8.53432375725659e-10,19.1164384989177
"xtr-miR-29a_st",-3.80052167927089,2.73054207570567,-12.7422544356625,1.60856034388787e-12,1.25708990874837e-09,18.6445821449932
"tni-miR-29a_st",-3.20575141291642,2.95045290968221,-12.0160178569152,5.80499889600789e-12,3.95203408342137e-09,17.4098540909553
"bta-miR-29c_st",-3.24015120410032,2.92005643576846,-11.9914567109861,6.06838246974491e-12,3.95203408342137e-09,17.3670284251127
"ppa-miR-141_st",-2.85370735763664,2.2575908071558,-11.5577761007377,1.34286956370436e-11,7.92612037560083e-09,16.5989866378783
"bta-miR-139_st",-5.04517139129304,3.87845970083335,-11.5277388564296,1.41990640125927e-11,7.92612037560083e-09,16.5449495173928
"mne-miR-101_st",-2.71884454951518,2.16093030230414,-11.3221683759583,2.08564046906392e-11,1.0866186843823e-08,16.1721522641962
"fru-miR-29b_st",-2.61343523758853,2.28865815178379,-11.1973887839601,2.64003748210891e-11,1.28949330766757e-08,15.9433132782758
"mmu-miR-29c_st",-3.26079728725766,2.72610621293743,-11.0877550485773,3.25233628340323e-11,1.49511812087037e-08,15.7406419549086
"ssc-miR-29c_st",-3.30039691597747,2.76972013618141,-11.0321019191203,3.61751318757363e-11,1.57060364227155e-08,15.6371805634868
"mmu-miR-451_st",-5.5589559640702,4.02078318179806,-10.6908636411016,7.00201360156513e-11,2.88003875243324e-08,14.9941705905348
"gga-miR-126_st",-6.06267807211863,4.67352327790902,-10.5452281551542,9.32094165107588e-11,3.6421579501579e-08,14.7151692545372
"gga-miR-29a_st",-3.60758621162506,2.74372918650138,-10.4997840131337,1.01965596544496e-10,3.67946523551805e-08,14.6275431419133
"tni-miR-126_st",-4.18903229135674,4.29389443185917,-10.4773864572292,1.06588921643507e-10,3.67946523551805e-08,14.5842562707418
"mdo-miR-101_st",-2.55184390651501,2.25098830504126,-10.4694023289699,1.08288804116334e-10,3.67946523551805e-08,14.5688097453914
"xtr-miR-126_st",-5.07144519459262,3.68014891483011,-10.4007690441688,1.24105514634677e-10,4.04118582029168e-08,14.435682381394
"cfa-miR-29c_st",-3.21213345703436,2.75049474583248,-10.3575758130112,1.35263350262536e-10,4.22833232920686e-08,14.3515825715755
"age-miR-101_st",-2.41244317389056,2.5790330887707,-10.2180766885566,1.78900641772021e-10,5.3773404440321e-08,14.0782819534296
"hsa-miR-148a_st",-3.52002660231267,2.4812069573606,-10.1244817697423,2.16107007262987e-10,6.25509726577867e-08,13.8934629321502
"tni-miR-10b_st",-4.38005754286416,3.79617313768822,-10.0418968620683,2.55543755903438e-10,7.01214925715946e-08,13.7294112516355
"xtr-miR-451_st",-5.89691800783631,4.06226009254931,-10.0330107254542,2.60207713957293e-10,7.01214925715946e-08,13.711704714868
"mml-miR-451_st",-5.35737768399312,4.43619772369605,-9.96280430860281,3.00282388269254e-10,7.82235621441406e-08,13.5714374030213
"hsa-miR-451_st",-5.74822909883159,4.0242706332502,-9.86229719867476,3.69025639404893e-10,9.30301732886852e-08,13.3694729859304
"ppa-miR-101_st",-2.28207761214115,2.32763709744688,-9.77652129272663,4.4045254777858e-10,1.07442198007652e-07,13.1960270010813
"fru-miR-194_st",-4.64329470679536,3.64633512937391,-9.76220943033787,4.53690663372043e-10,1.07442198007652e-07,13.1669898254881
"hsa-miR-639_st",-2.87187415357706,2.3485454854477,-9.73438269401669,4.80615109370378e-10,1.10470796462632e-07,13.1104525920745
"mdo-miR-141_st",-3.01378202984287,2.49105498476899,-9.66875711442876,5.50826155971659e-10,1.20582365072016e-07,12.9766987595171
"rno-miR-451_st",-5.7188662677895,4.22647238453469,-9.65200700734844,5.70383793232629e-10,1.20582365072016e-07,12.9424654822766
"rno-miR-139-3p_st",-2.95565129071325,2.66798478161684,-9.65157682238634,5.70895394454841e-10,1.20582365072016e-07,12.9415857798434
"dre-miR-34b_st",-3.44582792705084,2.46052193021576,-9.62547838512895,6.02833755649974e-10,1.20998660610149e-07,12.8881686501068
"mml-miR-101_st",-2.41400540811674,2.42771787453324,-9.62191516624251,6.07334852689338e-10,1.20998660610149e-07,12.8808683735243
"bta-miR-126_st",-5.79895531478697,5.00000424685153,-9.6125621826032,6.19314961536272e-10,1.20998660610149e-07,12.8616978255194
"ptr-miR-101_st",-2.53882284983791,2.35982631080846,-9.54355038693547,7.15578451083544e-10,1.36396234029705e-07,12.7198753779026
"csa-miR-34_st",-2.84536335695307,2.17094630551616,-9.44636906817589,8.77940932645386e-10,1.63359723538659e-07,12.5190531659058
"mne-miR-194_st",-4.6817968602182,3.53275292935727,-9.41878047313129,9.30621663423926e-10,1.65843389410471e-07,12.4618050492018
"mml-miR-194_st",-4.65986227633636,3.58975012775575,-9.40792163300847,9.52239106329425e-10,1.65843389410471e-07,12.4392434500297
"sla-miR-101_st",-2.37898963348679,2.3115486902122,-9.40657667341961,9.54952338256073e-10,1.65843389410471e-07,12.4364478713998
"fru-miR-29a_st",-3.118555267878,2.91199980667544,-9.39108115413544,9.86791846634103e-10,1.67512912643665e-07,12.4042214943209
"mdo-miR-375_st",-3.48208212763428,2.80457382001899,-9.38067598361854,1.00878312027992e-09,1.67512912643665e-07,12.3825630163892
"dre-miR-451_st",-5.38622303253567,4.26206771012963,-9.37137377086013,1.02887009685169e-09,1.67512912643665e-07,12.3631876917268
"mml-miR-375_st",-3.5529742853034,2.45537305598252,-9.28559876896612,1.234657397751e-09,1.9691525639641e-07,12.1839652489159
"cin-miR-141_st",-2.95118476478816,2.49031136768919,-9.27056407487355,1.27487894745423e-09,1.99263579487096e-07,12.1524460936053
"dre-miR-10d_st",-2.15932257778093,2.29707072609492,-9.23258525315041,1.38259545226279e-09,2.11862420773209e-07,12.0726866459139
"dre-miR-200c_st",-3.69588377172106,3.76154374778086,-9.19962842046402,1.48364301099412e-09,2.22974425594597e-07,12.0033117038409
"gga-miR-101_st",-2.62827540782098,2.39685850539205,-9.16892180131525,1.58462839944713e-09,2.31910588122419e-07,11.9385377781496
"bta-miR-34b_st",-4.23046158767829,2.96541154282408,-9.16371139179044,1.60245320007814e-09,2.31910588122419e-07,11.9275337041735
"ppy-miR-101_st",-2.46867897454799,2.30667403677348,-9.14716694993134,1.66043070877735e-09,2.35932108892636e-07,11.8925678152659
"cin-miR-126_st",-2.81419465185974,2.20402258400498,-9.11158667888647,1.79253888940946e-09,2.50155203941696e-07,11.8172416569579
"fru-miR-10b_st",-4.45249322728774,3.73739906311775,-9.08068271112259,1.91604210382141e-09,2.62699456866041e-07,11.7516726477808
"bta-miR-34c_st",-8.14723124329578,4.20905496285491,-9.03462578509094,2.11656012019854e-09,2.85188229988821e-07,11.6537067931944
